Tahun,Provinsi,u_cluster_0,u_cluster_1,u_cluster_2,label,region_type,n_active_clusters
2019,Aceh,0.0,1.0,0.0,1,lower,1
2019,Bali,0.0,0.0,1.0,2,lower,1
2019,Banten,1.0,0.0,0.0,0,lower,1
2019,Bengkulu,0.0,0.0,1.0,2,lower,1
2019,DKI Jakarta,1.0,0.0,0.0,0,lower,1
2019,Daerah Istimewa Yogyakarta,1.0,0.0,0.0,0,lower,1
2019,Gorontalo,1.0,0.0,0.0,0,lower,1
2019,Jambi,0.47647483247035227,0.5235251675296477,0.0,1,boundary,2
2019,Jawa Barat,1.0,0.0,0.0,0,lower,1
2019,Jawa Tengah,1.0,0.0,0.0,0,lower,1
2019,Jawa Timur,1.0,0.0,0.0,0,lower,1
2019,Kalimantan Barat,1.0,0.0,0.0,0,lower,1
2019,Kalimantan Selatan,1.0,0.0,0.0,0,lower,1
2019,Kalimantan Tengah,1.0,0.0,0.0,0,lower,1
2019,Kalimantan Timur,1.0,0.0,0.0,0,lower,1
2019,Kalimantan Utara,1.0,0.0,0.0,0,lower,1
2019,Kepulauan Bangka Belitung,0.0,1.0,0.0,1,lower,1
2019,Kepulauan Riau,1.0,0.0,0.0,0,lower,1
2019,Lampung,1.0,0.0,0.0,0,lower,1
2019,Maluku,1.0,0.0,0.0,0,lower,1
2019,Maluku Utara,1.0,0.0,0.0,0,lower,1
2019,Nusa Tenggara Barat,1.0,0.0,0.0,0,lower,1
2019,Nusa Tenggara Timur,0.0,1.0,0.0,1,lower,1
2019,Papua,0.0,1.0,0.0,1,lower,1
2019,Papua Barat,0.47214990656735945,0.5278500934326404,0.0,1,boundary,2
2019,Riau,0.496614396594711,0.503385603405289,0.0,1,boundary,2
2019,Sulawesi Barat,1.0,0.0,0.0,0,lower,1
2019,Sulawesi Selatan,1.0,0.0,0.0,0,lower,1
2019,Sulawesi Tengah,0.46727615728984356,0.5327238427101565,0.0,1,boundary,2
2019,Sulawesi Tenggara,0.5831585741414153,0.0,0.4168414258585848,0,boundary,2
2019,Sulawesi Utara,1.0,0.0,0.0,0,lower,1
2019,Sumatera Barat,1.0,0.0,0.0,0,lower,1
2019,Sumatera Selatan,1.0,0.0,0.0,0,lower,1
2019,Sumatera Utara,1.0,0.0,0.0,0,lower,1
2020,Aceh,0.0,1.0,0.0,1,lower,1
2020,Bali,0.0,0.0,1.0,2,lower,1
2020,Banten,1.0,0.0,0.0,0,lower,1
2020,Bengkulu,1.0,0.0,0.0,0,lower,1
2020,DKI Jakarta,1.0,0.0,0.0,0,lower,1
2020,Daerah Istimewa Yogyakarta,1.0,0.0,0.0,0,lower,1
2020,Gorontalo,1.0,0.0,0.0,0,lower,1
2020,Jambi,0.0,1.0,0.0,1,lower,1
2020,Jawa Barat,1.0,0.0,0.0,0,lower,1
2020,Jawa Tengah,1.0,0.0,0.0,0,lower,1
2020,Jawa Timur,1.0,0.0,0.0,0,lower,1
2020,Kalimantan Barat,1.0,0.0,0.0,0,lower,1
2020,Kalimantan Selatan,1.0,0.0,0.0,0,lower,1
2020,Kalimantan Tengah,1.0,0.0,0.0,0,lower,1
2020,Kalimantan Timur,1.0,0.0,0.0,0,lower,1
2020,Kalimantan Utara,1.0,0.0,0.0,0,lower,1
2020,Kepulauan Bangka Belitung,1.0,0.0,0.0,0,lower,1
2020,Kepulauan Riau,1.0,0.0,0.0,0,lower,1
2020,Lampung,1.0,0.0,0.0,0,lower,1
2020,Maluku,0.0,1.0,0.0,1,lower,1
2020,Maluku Utara,1.0,0.0,0.0,0,lower,1
2020,Nusa Tenggara Barat,0.0,1.0,0.0,1,lower,1
2020,Nusa Tenggara Timur,0.529849278359066,0.470150721640934,0.0,0,boundary,2
2020,Papua,0.0,1.0,0.0,1,lower,1
2020,Papua Barat,0.47834423494624817,0.5216557650537518,0.0,1,boundary,2
2020,Riau,0.0,1.0,0.0,1,lower,1
2020,Sulawesi Barat,1.0,0.0,0.0,0,lower,1
2020,Sulawesi Selatan,1.0,0.0,0.0,0,lower,1
2020,Sulawesi Tengah,1.0,0.0,0.0,0,lower,1
2020,Sulawesi Tenggara,1.0,0.0,0.0,0,lower,1
2020,Sulawesi Utara,1.0,0.0,0.0,0,lower,1
2020,Sumatera Barat,1.0,0.0,0.0,0,lower,1
2020,Sumatera Selatan,1.0,0.0,0.0,0,lower,1
2020,Sumatera Utara,1.0,0.0,0.0,0,lower,1
2021,Aceh,0.0,1.0,0.0,1,lower,1
2021,Bali,0.0,0.0,1.0,2,lower,1
2021,Banten,1.0,0.0,0.0,0,lower,1
2021,Bengkulu,0.4502475674273769,0.0,0.5497524325726231,2,boundary,2
2021,DKI Jakarta,1.0,0.0,0.0,0,lower,1
2021,Daerah Istimewa Yogyakarta,1.0,0.0,0.0,0,lower,1
2021,Gorontalo,0.0,1.0,0.0,1,lower,1
2021,Jambi,1.0,0.0,0.0,0,lower,1
2021,Jawa Barat,1.0,0.0,0.0,0,lower,1
2021,Jawa Tengah,1.0,0.0,0.0,0,lower,1
2021,Jawa Timur,1.0,0.0,0.0,0,lower,1
