Tahun,Provinsi,u_cluster_0,u_cluster_1,u_cluster_2,label,region_type,n_active_clusters
2019,Aceh,0.0,1.0,0.0,1,lower,1
2019,Bali,0.0,0.0,1.0,2,lower,1
2019,Banten,1.0,0.0,0.0,0,lower,1
2019,Bengkulu,0.0,0.0,1.0,2,lower,1
2019,DKI Jakarta,1.0,0.0,0.0,0,lower,1
2019,Daerah Istimewa Yogyakarta,1.0,0.0,0.0,0,lower,1
2019,Gorontalo,1.0,0.0,0.0,0,lower,1
2019,Jambi,0.5017906640814868,0.4982093359185133,0.0,0,boundary,2
2019,Jawa Barat,1.0,0.0,0.0,0,lower,1
2019,Jawa Tengah,1.0,0.0,0.0,0,lower,1
2019,Jawa Timur,1.0,0.0,0.0,0,lower,1
2019,Kalimantan Barat,1.0,0.0,0.0,0,lower,1
2019,Kalimantan Selatan,1.0,0.0,0.0,0,lower,1
2019,Kalimantan Tengah,1.0,0.0,0.0,0,lower,1
2019,Kalimantan Timur,1.0,0.0,0.0,0,lower,1
2019,Kalimantan Utara,1.0,0.0,0.0,0,lower,1
2019,Kepulauan Bangka Belitung,0.0,1.0,0.0,1,lower,1
2019,Kepulauan Riau,1.0,0.0,0.0,0,lower,1
2019,Lampung,1.0,0.0,0.0,0,lower,1
2019,Maluku,1.0,0.0,0.0,0,lower,1
2019,Maluku Utara,1.0,0.0,0.0,0,lower,1
2019,Nusa Tenggara Barat,1.0,0.0,0.0,0,lower,1
2019,Nusa Tenggara Timur,0.40581522688755167,0.5941847731124482,0.0,1,boundary,2
2019,Papua,0.0,1.0,0.0,1,lower,1
2019,Papua Barat,0.47491927365177444,0.5250807263482254,0.0,1,boundary,2
2019,Riau,0.5067115231319274,0.49328847686807265,0.0,0,boundary,2
2019,Sulawesi Barat,1.0,0.0,0.0,0,lower,1
2019,Sulawesi Selatan,1.0,0.0,0.0,0,lower,1
2019,Sulawesi Tengah,0.5001033307655917,0.49989666923440834,0.0,0,boundary,2
2019,Sulawesi Tenggara,0.5853199744256302,0.0,0.4146800255743697,0,boundary,2
2019,Sulawesi Utara,1.0,0.0,0.0,0,lower,1
2019,Sumatera Barat,1.0,0.0,0.0,0,lower,1
2019,Sumatera Selatan,1.0,0.0,0.0,0,lower,1
2019,Sumatera Utara,1.0,0.0,0.0,0,lower,1
2020,Aceh,0.0,1.0,0.0,1,lower,1
2020,Bali,0.0,0.0,1.0,2,lower,1
2020,Banten,1.0,0.0,0.0,0,lower,1
2020,Bengkulu,1.0,0.0,0.0,0,lower,1
2020,DKI Jakarta,1.0,0.0,0.0,0,lower,1
2020,Daerah Istimewa Yogyakarta,1.0,0.0,0.0,0,lower,1
2020,Gorontalo,1.0,0.0,0.0,0,lower,1
2020,Jambi,0.39844192586086896,0.601558074139131,0.0,1,boundary,2
2020,Jawa Barat,1.0,0.0,0.0,0,lower,1
2020,Jawa Tengah,1.0,0.0,0.0,0,lower,1
2020,Jawa Timur,1.0,0.0,0.0,0,lower,1
2020,Kalimantan Barat,1.0,0.0,0.0,0,lower,1
2020,Kalimantan Selatan,1.0,0.0,0.0,0,lower,1
2020,Kalimantan Tengah,1.0,0.0,0.0,0,lower,1
2020,Kalimantan Timur,1.0,0.0,0.0,0,lower,1
2020,Kalimantan Utara,1.0,0.0,0.0,0,lower,1
2020,Kepulauan Bangka Belitung,1.0,0.0,0.0,0,lower,1
2020,Kepulauan Riau,1.0,0.0,0.0,0,lower,1
2020,Lampung,1.0,0.0,0.0,0,lower,1
2020,Maluku,0.0,1.0,0.0,1,lower,1
2020,Maluku Utara,1.0,0.0,0.0,0,lower,1
2020,Nusa Tenggara Barat,0.0,1.0,0.0,1,lower,1
2020,Nusa Tenggara Timur,0.5732695948283182,0.42673040517168176,0.0,0,boundary,2
2020,Papua,0.0,1.0,0.0,1,lower,1
2020,Papua Barat,0.48465017180228115,0.5153498281977187,0.0,1,boundary,2
2020,Riau,0.0,1.0,0.0,1,lower,1
2020,Sulawesi Barat,1.0,0.0,0.0,0,lower,1
2020,Sulawesi Selatan,1.0,0.0,0.0,0,lower,1
2020,Sulawesi Tengah,1.0,0.0,0.0,0,lower,1
2020,Sulawesi Tenggara,1.0,0.0,0.0,0,lower,1
2020,Sulawesi Utara,1.0,0.0,0.0,0,lower,1
2020,Sumatera Barat,1.0,0.0,0.0,0,lower,1
2020,Sumatera Selatan,1.0,0.0,0.0,0,lower,1
2020,Sumatera Utara,1.0,0.0,0.0,0,lower,1
2021,Aceh,0.0,1.0,0.0,1,lower,1
2021,Bali,0.0,0.0,1.0,2,lower,1
2021,Banten,1.0,0.0,0.0,0,lower,1
2021,Bengkulu,0.45048711556948084,0.0,0.5495128844305192,2,boundary,2
2021,DKI Jakarta,1.0,0.0,0.0,0,lower,1
2021,Daerah Istimewa Yogyakarta,1.0,0.0,0.0,0,lower,1
2021,Gorontalo,0.0,1.0,0.0,1,lower,1
2021,Jambi,1.0,0.0,0.0,0,lower,1
2021,Jawa Barat,1.0,0.0,0.0,0,lower,1
2021,Jawa Tengah,1.0,0.0,0.0,0,lower,1
