combo_id,run,N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,seed,refine_iter,final_objective,max_cluster_ratio,boundary_ratio,is_imbalanced
79,2,25,100,1.0,0.95,1.0,1.0,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
79,3,25,100,1.0,0.95,1.0,1.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
79,4,25,100,1.0,0.95,1.0,1.0,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
79,5,25,100,1.0,0.95,1.0,1.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
80,1,25,100,1.0,0.95,1.0,2.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
80,2,25,100,1.0,0.95,1.0,2.0,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
80,3,25,100,1.0,0.95,1.0,2.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
80,4,25,100,1.0,0.95,1.0,2.0,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
80,5,25,100,1.0,0.95,1.0,2.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
81,1,25,100,1.0,0.95,2.0,0.1,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
81,2,25,100,1.0,0.95,2.0,0.1,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
81,3,25,100,1.0,0.95,2.0,0.1,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
81,4,25,100,1.0,0.95,2.0,0.1,46,29,45.373247586268405,0.7125984251968503,0.10236220472440945,False
81,5,25,100,1.0,0.95,2.0,0.1,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
82,1,25,100,1.0,0.95,2.0,0.5,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
82,2,25,100,1.0,0.95,2.0,0.5,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
82,3,25,100,1.0,0.95,2.0,0.5,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
