Tahun,Provinsi,label,u_cluster_0,u_cluster_1,u_cluster_2,u_cluster_3,region_type,nama_klaster,membership_dominan,kepastian,info_peta
2023,Aceh,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Bali,2,0.0,0.0,1.0,0.0,lower,Klaster 3,1.0,Pasti (Lower),Klaster 3 | Pasti (Lower)
2023,Banten,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower),Klaster 2 | Pasti (Lower)
2023,Bengkulu,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,DKI Jakarta,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower),Klaster 2 | Pasti (Lower)
2023,Daerah Istimewa Yogyakarta,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower),Klaster 2 | Pasti (Lower)
2023,Gorontalo,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Jambi,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Jawa Barat,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower),Klaster 2 | Pasti (Lower)
2023,Jawa Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Jawa Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Kalimantan Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Kalimantan Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Kalimantan Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Kalimantan Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Kalimantan Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Kepulauan Bangka Belitung,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Kepulauan Riau,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Lampung,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Maluku,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Maluku Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Nusa Tenggara Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Nusa Tenggara Timur,0,0.5888350243070578,0.0,0.0,0.4111649756929421,boundary,Klaster 1,0.59,Boundary (0.59),Klaster 1 | Boundary (0.59)
2023,Papua,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower),Klaster 4 | Pasti (Lower)
2023,Papua Barat,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower),Klaster 4 | Pasti (Lower)
2023,Papua Barat Daya,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower),Klaster 4 | Pasti (Lower)
2023,Papua Pegunungan,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower),Klaster 4 | Pasti (Lower)
2023,Papua Selatan,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower),Klaster 4 | Pasti (Lower)
2023,Papua Tengah,2,0.0,0.0,1.0,0.0,lower,Klaster 3,1.0,Pasti (Lower),Klaster 3 | Pasti (Lower)
2023,Riau,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Sulawesi Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Sulawesi Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Sulawesi Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Sulawesi Tenggara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Sulawesi Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Sumatera Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Sumatera Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2023,Sumatera Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
