fa_iter,best_fa_objective_so_far
1,54.34754850062022
2,54.34754850062022
3,54.34754850062022
4,54.34754850062022
5,54.34754850062022
6,54.34754850062022
7,54.34754850062022
8,54.34754850062022
9,54.34754850062022
10,54.34754850062022
11,54.34754850062022
12,54.34754850062022
13,54.34754850062022
14,54.34754850062022
15,54.34754850062022
16,54.34754850062022
17,54.34754850062022
18,54.34754850062022
19,54.34754850062022
20,54.34754850062022
21,54.34754850062022
22,54.34754850062022
23,54.34754850062022
24,54.34754850062022
25,54.34754850062022
26,54.34754850062022
27,54.34754850062022
28,54.34754850062022
29,54.34754850062022
30,54.34754850062022
31,54.34754850062022
32,54.34754850062022
33,54.34754850062022
34,54.34754850062022
35,54.34754850062022
36,54.34754850062022
37,54.34754850062022
38,54.34754850062022
39,54.34754850062022
40,54.34754850062022
41,54.34754850062022
42,54.34754850062022
43,54.34754850062022
44,54.34754850062022
45,54.34754850062022
46,54.34754850062022
47,54.34754850062022
48,54.34754850062022
49,54.34754850062022
50,54.34754850062022
51,54.34754850062022
52,54.34754850062022
53,54.34754850062022
54,54.34754850062022
55,54.34754850062022
56,54.34754850062022
57,54.34754850062022
58,54.34754850062022
59,54.34754850062022
60,54.34754850062022
61,54.34754850062022
62,54.34754850062022
63,54.34754850062022
64,54.34754850062022
65,54.34754850062022
66,54.34754850062022
67,54.34754850062022
68,54.34754850062022
69,54.34754850062022
70,54.34754850062022
71,54.34754850062022
72,54.34754850062022
73,54.34754850062022
74,54.34754850062022
75,54.34754850062022
76,54.34754850062022
77,54.34754850062022
78,54.34754850062022
79,54.34754850062022
80,54.34754850062022
81,54.34754850062022
82,54.34754850062022
83,54.34754850062022
84,54.34754850062022
85,54.34754850062022
86,54.34754850062022
87,54.34754850062022
88,54.34754850062022
89,54.34754850062022
90,54.34754850062022
91,54.34754850062022
92,54.34754850062022
93,54.34754850062022
94,54.34754850062022
95,54.34754850062022
96,54.34754850062022
97,54.34754850062022
98,54.34754850062022
99,54.34754850062022
100,54.34754850062022
